source,identifier,title,date,views,unique_views,downloads,unique_downloads,human_ratio,stars,forks,url
zenodo,10.5281/zenodo.17455491,A Logarithmic First Integral for the Logistic On Site Law in Void Dynamics,2025-10-27,7,7,9,9,1,,,https://zenodo.org/records/17455491
zenodo,10.5281/zenodo.17220869,A Logarithmic First Integral for the Logistic On Site Law in Void Dynamics,2025-09-29,375,312,610,507,0.831,,,https://zenodo.org/records/17220869
github,Neuroca-Inc/Prometheus_Void-Dynamics_Model,"Neuroca, Inc's official public authorized repository for a physics grounded approach to modeling real time divergent / c",2026-05-12,,,,,,4,3,https://github.com/Neuroca-Inc/Prometheus_Void-Dynamics_Model
github,Neuroca-Inc/_Neuroca,"Dynamic, self managing biology-like memory layer for LLMs. Give your agent the ability to remember and forget in three s",2025-12-09,,,,,,1,0,https://github.com/Neuroca-Inc/_Neuroca
github,Neuroca-Inc/Cogito-Research,Cogito: Computational framework employing a Syncretic Catalyst (synthesis) & rigorous Critique System (analysis) autonom,2026-04-16,,,,,,2,0,https://github.com/Neuroca-Inc/Cogito-Research
github,Neuroca-Inc/.github,,2026-08-26,,,,,,0,0,https://github.com/Neuroca-Inc/.github
github,Neuroca-Inc/VDM,"The official Neuroca, Inc. repository for the Void Dynamics Model research project.",2026-05-09,,,,,,1,0,https://github.com/Neuroca-Inc/VDM
github,Neuroca-Inc/TeXterity,"A native, offline-first desktop game written in Rust for learning to type LaTeX used in graduate mathematics and physics",2026-08-10,,,,,,0,0,https://github.com/Neuroca-Inc/TeXterity
github,Neuroca-Inc/cortex-engine,"Phase Calculus world simulation engine for physics, video games, AI models, operating systems, robotics, and more.",2026-08-26,,,,,,0,0,https://github.com/Neuroca-Inc/cortex-engine
github,Neuroca-Inc/vdm_rt,"Real-time, zero-training, self-managing topological graph model with emergent learning driven by sophisticated, rich spi",2026-08-10,,,,,,0,0,https://github.com/Neuroca-Inc/vdm_rt
github,Neuroca-Inc/conduit,Local-first desktop application for designing data systems as typed architecture graphs.,2026-08-10,,,,,,0,0,https://github.com/Neuroca-Inc/conduit
github,Neuroca-Inc/arachnid,"Dependency graphing, standards auditing, and documentation snapshotting as a fast, lightweight CLI tool.",2026-08-10,,,,,,0,0,https://github.com/Neuroca-Inc/arachnid
github,Neuroca-Inc/orchestra,"Three agent project tracking desktop application for recording Operator, Guardian, and Auditor interactions without losi",2026-08-22,,,,,,0,0,https://github.com/Neuroca-Inc/orchestra
github,Neuroca-Inc/deltus,Table comparison tool used for ETL regression testing.,2026-08-10,,,,,,0,0,https://github.com/Neuroca-Inc/deltus
github,Neuroca-Inc/Lean4_Environment,Lean4 environment for the Void Dynamics Model.,2026-08-26,,,,,,0,0,https://github.com/Neuroca-Inc/Lean4_Environment
github,Neuroca-Inc/Catalyst_Chunker,"An invariant-first chunk formation package for retrieval, agentic software, and document/code workflows that need source",2026-08-10,,,,,,0,0,https://github.com/Neuroca-Inc/Catalyst_Chunker
github,Neuroca-Inc/scriba,"Turn things into text. Multi-modality transcriber, OCR, and convert to txt file tool. Resources",2026-08-10,,,,,,0,0,https://github.com/Neuroca-Inc/scriba
github,Neuroca-Inc/lamina,A clean architecture template for Python GUIs.,2026-08-18,,,,,,0,0,https://github.com/Neuroca-Inc/lamina
github,Neuroca-Inc/rustruct,"Interactive Rust project scaffolding tool. Answer a few questions, learn the reasoning behind each choice, start from a ",2026-08-19,,,,,,0,0,https://github.com/Neuroca-Inc/rustruct
github,Neuroca-Inc/ephemeris,Lightweight Linux CLI for running arbitrary commands on demand or on a schedule while preserving each execution as a tim,2026-08-26,,,,,,0,0,https://github.com/Neuroca-Inc/ephemeris
github,Neuroca-Inc/beacon,Local repository indexing and querying tool.,2026-08-22,,,,,,0,0,https://github.com/Neuroca-Inc/beacon
github,Neuroca-Inc/Perfect_Prompts,"A filesystem-first library for prompt engineering, context engineering, agent control, reusable AI workflows, research m",2026-08-24,,,,,,0,0,https://github.com/Neuroca-Inc/Perfect_Prompts
github,Neuroca-Inc/equamorph,"Transform, normalize, extract, and compile mathematical expressions across LaTeX, MathJax, ASCII, Unicode, Python, and R",2026-08-24,,,,,,0,0,https://github.com/Neuroca-Inc/equamorph
github,Neuroca-Inc/vll_organism,"A local, persistent knowledge organism for text/Markdown files featuring sparse graph dynamics, source-atomic ingestion,",2026-08-26,,,,,,1,0,https://github.com/Neuroca-Inc/vll_organism
github,Neuroca-Inc/voidkit,"Research-derived mathematics and scientific computing tools from Neuroca, including numerical methods, exact algebra, dy",2026-08-26,,,,,,0,0,https://github.com/Neuroca-Inc/voidkit
github,Neuroca-Inc/vdm-logistic-solver,A small installable interface around the exact logistic on-site reaction step and logarithmic invariant used in the VDM ,2026-08-26,,,,,,0,0,https://github.com/Neuroca-Inc/vdm-logistic-solver
github,Neuroca-Inc/vdm-ceg-instrument,Gate-certified Counterfactual Echo Gain instrumentation for VDM metriplectic assisted-echo experiments.,2026-08-26,,,,,,0,0,https://github.com/Neuroca-Inc/vdm-ceg-instrument
github,Neuroca-Inc/vdm-provenance-helper,"Neuroca provenance tooling for reproducible research packages, integrity manifests, publication metadata, and independen",2026-08-26,,,,,,0,0,https://github.com/Neuroca-Inc/vdm-provenance-helper
github,Neuroca-Inc/rok,"Portable offline Rust build and validation kits for AI agents, disconnected environments, and reproducible development.",2026-08-28,,,,,,0,0,https://github.com/Neuroca-Inc/rok
github,Neuroca-Inc/axiter,Excitable-neuron path retrieval: beam search over a graph where node score is similarity plus excitation plus novelty mi,2026-08-28,,,,,,0,0,https://github.com/Neuroca-Inc/axiter
github,Neuroca-Inc/corpex,"Read-only repository miner that builds a corpus of excerpts. Extracts reusable prompts, instructions, personas, skills, ",2026-08-28,,,,,,0,0,https://github.com/Neuroca-Inc/corpex
github,Neuroca-Inc/notarius,"The clerk that records and authenticates a tree. Create immutable, machine-verifiable manifests of any repository or dir",2026-08-29,,,,,,0,0,https://github.com/Neuroca-Inc/notarius
github,Neuroca-Inc/reach,"One-command distribution snapshot across Zenodo, Hugging Face and GitHub. Separates unique from raw counts so you can se",2026-08-28,,,,,,0,0,https://github.com/Neuroca-Inc/reach
github,Neuroca-Inc/Chronica,"Reclaim ChatGPT history directly, import official exports, keep the archive incrementally current, search it lexically o",2026-08-29,,,,,,0,0,https://github.com/Neuroca-Inc/Chronica
